ACCOUNT_ID,SUBJECT_LINE,SENT_COUNT,DELIVERED_COUNT,OPENED_COUNT,UNIQUE_OPENED_COUNT,UNIQUE_BOUNCE_COUNT,Open Rate,char length of subject line
123,Your $20 will be gone at midnight!,843815,842815,174320,136388,1000,16.18%,34
123,Your $5 Reward expires today.,848787,847787,196890,149230,1000,17.60%,29
123,Your $50 Bonus Card is here!,1254,254,980,227,1000,89.37%,28
123,Your *free* $5 disappears tonight.,849913,848913,166592,124713,1000,14.69%,34
123,Your EARLY ACCESS to clearance ends soon!,1978368,1977368,339937,278546,1000,14.09%,41
123,Your FREE GIFT is here! (But not for long.),5059820,5058820,1329789,969791,1000,19.17%,43
123,Your Wednesday just got 20% better.,6191076,6190076,909950,745303,1000,12.04%,35
123,Your closet's been asking for new stuff.,8638532,8637532,1368282,1135717,1000,13.15%,40
123,Your fall brand.,996150,995150,149509,129906,1000,13.05%,16
123,Your fall staples.,35720,34720,8712,7163,1000,20.63%,18
123,Your fave sneaker. Exclusive new colors.,6190360,6189360,1318677,1051498,1000,16.99%,40
123,Your forecast demands these shoes.,4825507,4824507,974171,744988,1000,15.44%,34
123,Your invitation to the best Sunday EVER.,21591,20591,5919,4490,1000,21.81%,40
123,Your invitation to the best weekend EVER.,26169,25169,7021,5293,1000,21.03%,41
123,Your leather jacket will love these.,4020462,4019462,704213,593876,1000,14.78%,36
123,Your life needs these sneakers.,330139,329139,64709,53098,1000,16.13%,31
123,Your look + booties = always good.,441769,440769,51989,42394,1000,9.62%,34
123,Your new boots are in here.,1000940,999940,146528,127089,1000,12.71%,27
123,Your new boots are right here.,711732,710732,148640,124267,1000,17.48%,30
123,Your new dress shoes are in here.,98495,97495,11555,10358,1000,10.62%,33
123,Your new favorite sandals are in here.,1411555,1410555,207977,164817,1000,11.68%,38
123,Your new favorite shoes? Right this way.,14020,13020,3534,2627,1000,20.18%,40
123,Your new go-to shoes.,943466,942466,216085,173004,1000,18.36%,21
123,Your new sneaker lineup is here.,924372,923372,191209,158026,1000,17.11%,32
123,Your next donation = $5 Reward!,290065,289065,73202,53551,1000,18.53%,31
123,Your next pair of boots is in here.,36109,35109,5499,4584,1000,13.06%,35
123,Your next shoe donation = $5 Reward!,575499,574499,122788,92146,1000,16.04%,36
123,Your shoes make an impression.,497006,496006,78673,67939,1000,13.70%,30
123,Your sneaker collection needs a touch up.,977756,976756,152431,130873,1000,13.40%,41
123,Your sole search is over.,647341,646341,96296,81048,1000,12.54%,25
123,Your spring must-have list.,911882,910882,168369,137257,1000,15.07%,27
123,Your store just got a makeover.,889458,888458,143045,121679,1000,13.70%,31
123,Your summer calendar (in shoes).,6053454,6052454,1298890,1019998,1000,16.85%,32
123,Your summer color palette.,913180,912180,182110,145360,1000,15.94%,26
123,Your summer sandals? Fixed.,46747,45747,7518,6358,1000,13.90%,27
123,Your summer style guide.,907874,906874,210087,164093,1000,18.09%,24
123,Your weekly wrap-up.,398455,397455,61774,52011,1000,13.09%,20
123,Your winter MVP.,13573515,13572515,2199481,1800645,1000,13.27%,16
123,psst... There's $10 off in here!,670393,669393,279088,156506,1000,23.38%,32
123,Spend less with code SAVEGREEN.,8315713,8314713,2108011,1526193,1000,18.36%,31
123,Spoiler alert: $10 off inside,395541,394541,105193,71940,1000,18.23%,29
123,Sporty sandals starting @ $40.,2757393,2756393,530772,420109,1000,15.24%,30
123,Spotted: The perfect block heel.,849596,848596,636783,537448,1000,63.33%,32
123,Spring Essential: The Sporty Sandal.,147907,146907,28831,23458,1000,15.97%,36
123,Spring heels and   sandals -- under $40!,6648661,6647661,1116244,907631,1000,13.65%,40
123,Springy picks that are made to move.,225557,224557,39854,32705,1000,14.56%,36
123,Starting NOW: $20.18 off!,5895548,5894548,1299777,985047,1000,16.71%,25
123,Starting NOW: 30% off boots + booties.,13107756,13106756,2116380,1622129,1000,12.38%,38
123,Starting NOW: EXTRA 20% OFF (!),2492119,2491119,502445,363802,1000,14.60%,31
123,Starting NOW: EXTRA 20% OFF your purchase (!),11142688,11141688,2329177,1678299,1000,15.06%,45
123,Starting NOW: Extra 30% off boots.,1634519,1633519,287852,224426,1000,13.74%,34
123,Starting NOW: a FREE GIFT you'll love.,60835,59835,46060,21071,1000,35.22%,38
123,Starting NOW: the FREE TOTE you'll carry all fall.,11562,10562,7190,3399,1000,32.18%,50
123,Starting Thursday: FREE cozy blanket!,4995060,4994060,791613,662935,1000,13.27%,37
123,Starting at $39.99: Big brands. Incredible boots.,10040831,10039831,1829649,1499778,1000,14.94%,49
123,Starting at $50: boots that take on the chill.,5100651,5099651,995489,790153,1000,15.49%,46
